MSE	YEAR_	QUARTER_
288757524.349919	1990	1
296256868.971594	1990	2
287082952.236198	1990	3
306697607.465123	1990	4
305144309.154411	1991	1
311770427.939636	1991	2
301589781.037477	1991	3
316993987.563209	1991	4
338056312.68513	1992	1
360451164.17692	1992	2
356150448.581233	1992	3
391228219.227785	1992	4
397868300.513601	1993	1
415889341.374511	1993	2
406692970.270917	1993	3
437968010.55557	1993	4
445036379.671228	1994	1
438243790.675303	1994	2
425615075.683315	1994	3
459303164.689149	1994	4
486624705.430386	1995	1
520917103.102795	1995	2
518074457.776958	1995	3
582455453.939816	1995	4
603773398.561186	1996	1
635581703.2214	1996	2
619089319.72675	1996	3
692130914.069062	1996	4
692568051.107009	1997	1
741868983.790096	1997	2
704826536.800431	1997	3
781414346.824563	1997	4
751991820.195531	1998	1
764158040.694741	1998	2
712098628.111294	1998	3
789524827.999396	1998	4
770562944	1999	1
802973534	1999	2
737480670	1999	3
817953087	1999	4
799175371	2000	1
831386402	2000	2
754635956	2000	3
853323933	2000	4
787687792	2001	1
856670690	2001	2
750239089	2001	3
895956525	2001	4
719616970	2002	1
941829410	2002	2
929785153	2002	3
958318365	2002	4
933339784	2003	1
980698421	2003	2
897399174	2003	3
1030186909	2003	4
1032397667	2004	1
1093321643	2004	2
973581985	2004	3
1135826319	2004	4
1107944523	2005	1
1175594025	2005	2
1049126552	2005	3
1213381477	2005	4
1247616027	2006	1
1274540190	2006	2
1176888397	2006	3
1357448753	2006	4
1347090530	2007	1
1401226773	2007	2
1268371991	2007	3
1448940009	2007	4
1442525251	2008	1
1495565022	2008	2
1286856168	2008	3
1493605631	2008	4
1475069208	2009	1
1526266676	2009	2
1361395117	2009	3
1538903220	2009	4
1523447508	2010	1
1577394473	2010	2
1378734442	2010	3
1511519120	2010	4
